1726,CoveredDistanceRunManual,"Activity, Workouts",Daily,sum of covered distance from manually added running activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1727,CoveredDistanceBikeManual,"Activity, Workouts",Daily,sum of covered distance from manually added biking/cycling activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1727,CoveredDistanceBikeManual,"Activity, Workouts",Epoch,covered distance from manually added biking/cycling activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1814,ActiveDurationManual,Activity,Daily,sum of manually added active state minutes,minutes,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1815,WalkDurationManual,Activity,Daily,sum of manually added walking minutes,minutes,DOUBLE,checked,checked,checked,checked,checked,,checked,checked,,checked,,,,,,,,,
1816,RunDurationManual,"Activity, Workouts",Daily,sum of manually added running minutes,minutes,DOUBLE,checked,checked,checked,checked,checked,,checked,checked,,checked,,,,,,,,,
1817,BikeDurationManual,"Activity, Workouts",Daily,sum of manually added biking minutes,minutes,DOUBLE,checked,checked,checked,checked,checked,,checked,checked,,checked,,,,,,,,,
1824,ActiveBikeDuration,"Activity, Workouts",Epoch,Active minutes during generic (non-walk/run/bike) activity (in this timeframe),,DOUBLE,,,,checked,checked,,,,,,,,,,checked,,,,
1825,ActiveWalkDuration,Activity,Epoch,Active minutes during walk activity (in this timeframe),,DOUBLE,,,,checked,checked,,,,,,,,,,checked,,,,
1826,ActiveRunDuration,"Activity, Workouts",Epoch,Active minutes during run activity (in this timeframe),minutes,DOUBLE,,,,checked,checked,,,,,,,,,,checked,,,,
1827,ActiveBikeDuration,"Activity, Workouts",Epoch,Active minutes during bike activity (in this timeframe),minutes,DOUBLE,,,,checked,checked,,,,,,,,,,checked,,,,
2000,SleepStateBinary,Sleep,Epoch,sleep detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,checked,checked,,checked,,,checked,,,checked,checked,,,,checked
2000,SleepDuration,Sleep,Daily,overall sleep duration without wake times in minutes - excluding naps,minutes,LONG,checked,checked,checked,checked,,checked,,checked,,,checked,checked,checked,checked,,,checked,checked,
2001,SleepInBedBinary,Sleep,Epoch,sleep with wake times detected (in this timeframe),,BOOLEAN,checked,checked,,checked,checked,checked,,,,,checked,,,checked,checked,,checked,,checked
2001,SleepInBedDuration,Sleep,Daily,overall sleep duration with wake times during the night in minutes,minutes,LONG,checked,checked,,checked,,checked,,,,,checked,checked,checked,checked,,,checked,,
2002,SleepREMBinary,Sleep,Epoch,REM sleep detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,,checked,checked,checked
2002,SleepREMDuration,Sleep,Daily,overall time spent in REM sleep minutes during the night,minutes,LONG,checked,checked,checked,,,checked,,checked,,,checked,,,checked,,,checked,,
2003,SleepDeepBinary,Sleep,Epoch,deep sleep detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,checked,checked,,checked,,,checked,,,checked,checked,,,,checked
2003,SleepDeepDuration,Sleep,Daily,overall time spent in deep sleep in minutes,minutes,LONG,checked,checked,checked,,,checked,,checked,,,checked,checked,,checked,,,checked,checked,
2005,SleepLightBinary,Sleep,Epoch,light sleep detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,checked,checked,,checked,,,checked,,,checked,checked,,,,checked
2005,SleepLightDuration,Sleep,Daily,overall time spent in light sleep in minutes,minutes,LONG,checked,checked,checked,,,checked,,checked,,,checked,,checked,checked,,,checked,checked,
2006,SleepAwakeBinary,Sleep,Epoch,sleep interruption detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,,checked,,checked
2006,SleepAwakeDuration,Sleep,Daily,overall time awake during sleep periods in minutes,minutes,LONG,checked,checked,checked,checked,,checked,,checked,,,checked,,checked,checked,,,checked,,
2007,SleepLatencyBinary,Sleep,Epoch,sleep onset phase detected (in this timeframe),,BOOLEAN,,,,,,,,,,,checked,,,,,,,,
2007,SleepLatency,Sleep,Daily,"duration from bedtime (light out), to the onset of sleep in minutes",minutes,LONG,checked,,,,,checked,,,,,checked,,,checked,,,,,
2008,SleepAwakeAfterWakeUpBinary,Sleep,Epoch,minutes spent in bed after waking up (in this timeframe),,BOOLEAN,,,,,,,,,,,checked,,,,,,,,
2008,SleepAwakeAfterWakeup,Sleep,Daily,sum of minutes spent in bed after waking up,minutes,LONG,checked,,,,,checked,,,,,checked,,,,,,,,
2100,SleepStartTime,Sleep,Daily,time of the first sleep onset,,DATE,checked,checked,checked,checked,,checked,,,,,checked,checked,,checked,,,,,
2101,SleepEndTime,Sleep,Daily,time of the last wake-up,,DATE,checked,checked,checked,checked,,checked,,,,,checked,checked,,checked,,,,,
2102,SleepInterruptions,Sleep,Daily,sleep interruptions detected during the night,,Binary,checked,,,,,checked,,,,,checked,checked,,checked,,,checked,,
2102,SleepInterruptions,Sleep,Daily,number of sleep interruptions during the night,count,LONG,checked,,,,,checked,,,,,checked,checked,,checked,,,checked,,
2200,SleepEfficiency,Sleep,Daily,percentage of time spent asleep while in bed (the amount of minutes spent asleep divided by the total minutes of time in bed),,LONG,checked,checked,checked,checked,,checked,,,,,checked,checked,,checked,,,checked,,
2201,SleepQuality,Sleep,Daily,"sleep quality index scaling from 0 to 100, where the values above 77 signify good sleep quality, while those below 77 signify poor sleep quality.",,LONG,checked,checked,,checked,,checked,,,,,,,,checked,,,,,
2210,SleepIntensity,Sleep,Epoch,sleep intensity (in this timeframe),,DOUBLE,checked,checked,,,,checked,,,,,,,,,,,,,
